,id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
26001,51441187,Queens,Springfield Gardens,Entire home/apt,270.0,30,13
26003,1208074634862528983,Brooklyn,Bay Ridge,Private room,52.0,30,0
26004,666851184773991718,Queens,Rosedale,Entire home/apt,120.0,30,31
26005,14595903,Brooklyn,Clinton Hill,Private room,150.0,30,27
26006,989273077282515810,Brooklyn,East New York,Entire home/apt,233.0,5,7
26007,1227852245132163349,Brooklyn,Fort Greene,Private room,49.0,30,0
26008,18329309,Queens,Ridgewood,Entire home/apt,93.0,30,17
26009,32901262,Queens,Jackson Heights,Entire home/apt,316.0,30,90
26010,38954037,Manhattan,Washington Heights,Private room,50.0,30,13
26011,978987017382878565,Brooklyn,Gravesend,Entire home/apt,85.0,30,5
26012,20692462,Brooklyn,Fort Greene,Private room,72.0,30,11
26013,966740091055327436,Brooklyn,East Flatbush,Entire home/apt,281.0,30,1
26014,1166236579959792387,Queens,Elmhurst,Private room,42.0,30,0
26015,618029927103390496,Brooklyn,Bath Beach,Private room,48.0,30,21
26016,754495019590401182,Brooklyn,East New York,Private room,60.0,30,1
26017,1027509804398931423,Queens,Forest Hills,Private room,86.0,30,0
26018,716034016670410590,Queens,Elmhurst,Entire home/apt,132.0,30,62
26019,718121881909731596,Queens,Ozone Park,Private room,80.0,30,6
26020,25689024,Brooklyn,East Flatbush,Entire home/apt,100.0,30,105
26021,608618639198821844,Brooklyn,Flatlands,Entire home/apt,70.0,30,55
26022,734146997394470152,Queens,Corona,Private room,207.0,30,54
26023,21175036,Brooklyn,Flatbush,Private room,75.0,30,22
26024,6730582,Queens,Springfield Gardens,Entire home/apt,160.0,30,36
26025,3835757,Queens,Ditmars Steinway,Private room,66.0,30,330
26026,1191730127302290666,Brooklyn,Fort Greene,Private room,54.0,30,0
26027,629040494057779296,Brooklyn,East New York,Entire home/apt,60.0,30,27
26028,629036001404946530,Brooklyn,East Flatbush,Private room,85.0,30,2
26029,41212093,Brooklyn,Clinton Hill,Private room,139.0,30,68
26030,797577207386252643,Queens,Glendale,Entire home/apt,161.0,30,17
26031,737718519546722846,Staten Island,Westerleigh,Private room,83.0,30,13
26032,1081124181956231759,Bronx,Mount Hope,Private room,144.0,2,21
26033,847869591414278117,Queens,Long Island City,Private room,70.0,30,27
26034,998048498640584631,Bronx,Morrisania,Private room,250.0,3,5
26035,36101436,Brooklyn,Bay Ridge,Private room,53.0,30,82
26036,1116763616207150309,Brooklyn,Clinton Hill,Entire home/apt,126.0,30,1
26037,1175298026309112407,Brooklyn,Fort Hamilton,Entire home/apt,250.0,30,0
26038,5004463,Brooklyn,Midwood,Private room,60.0,30,27
26039,18412771,Manhattan,Washington Heights,Private room,55.0,30,15
